id,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date
1128,GJ 849 b,29,0.893 Jupiters,10.41,2006
1129,GJ 849 c,29,0.99 Earths,10.41,2014
1130,GJ 86 b,35,4.42 Jupiters,6.12,1999
1131,GJ 876 b,15,2.2756 Jupiters,10.16,1998
1132,GJ 876 c,15,0.7142 Jupiters,10.16,2000
1133,GJ 876 d,15,6.83 Earths,10.16,2005
1134,GJ 876 e,15,14.6 Earths,10.16,2010
1135,GJ 887 b,11,4.2 Earths,7.33,2020
1136,GJ 887 c,11,7.6 Earths,7.33,2020
1137,GJ 896 A b,20,2.26 Jupiters,10.05,2022
1138,GJ 9066 c,15,0.21 Jupiters,12.71,2020
1139,GJ 9689 b,100,9.65 Earths,11.297,2020
1140,GJ 96 b,39,19.66 Earths,9.4,2018
1141,GJ 9714 b,67,9.403 Jupiters,9.37,2022
1142,GJ 9827 b,97,5.14 Earths,10.37,2017
1143,GJ 9827 c,97,1.3 Earths,10.37,2017
1144,GJ 9827 d,97,3.53 Earths,10.37,2017
1145,Gl 378 b,49,13.02 Earths,10.03,2019
1146,Gl 49 b,32,5.63 Earths,9.56,2019
1147,Gl 686 b,27,6.624 Earths,9.62,2018
1148,GPX-1 b,2137,19.7 Jupiters,12.316,2021
1149,GQ Lupi b,493,20 Jupiters,11.593,2004
1150,HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
1151,HAT-P-54 b,469,0.76 Jupiters,13.398,2015
1152,HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
1153,HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
1154,HAT-P-57 b,913,1.41 Jupiters,10.639,2015
1155,HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
1156,HAT-P-59 b,866,1.54 Jupiters,11.64,2021
1157,HAT-P-5 b,989,0.98 Jupiters,11.954,2007
1158,HAT-P-60 b,761,0.574 Jupiters,9.727,2021
1159,HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
1160,HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
1161,HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
1162,HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
1163,HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
1164,HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
1165,HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
1166,HAT-P-68 b,659,0.724 Jupiters,13.802,2020
1167,HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
1168,HAT-P-6 b,898,1.32 Jupiters,10.469,2007
1169,HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
1170,HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
1171,HAT-P-8 b,690,1.28 Jupiters,10.358,2008
1172,HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
1173,HATS-10 b,1745,0.526 Jupiters,13.202,2015
1174,HATS-11 b,3081,0.83 Jupiters,14.06,2016
1175,GSC 06214-00210 b,354,16 Jupiters,12.416,2010
1176,GU Piscium b,155,11.3 Jupiters,14.146,2014
1177,HAT-P-11 b,123,26.69772 Earths,9.46,2008
1178,HAT-P-11 c,123,2.3 Jupiters,9.46,2018
1179,HAT-P-12 b,466,0.211 Jupiters,12.665,2009
1180,HAT-P-13 b,805,0.851 Jupiters,10.421,2009
1181,HAT-P-13 c,805,14.28 Jupiters,10.421,2009
1182,HAT-P-14 b,726,3.44 Jupiters,9.988,2010
1183,HAT-P-15 b,628,1.94 Jupiters,12.41,2010
1184,HAT-P-16 b,739,4.193 Jupiters,10.911,2010
1185,HAT-P-17 b,301,0.58 Jupiters,10.375,2010
1186,HAT-P-17 c,301,3.4 Jupiters,10.375,2010
1187,HAT-P-18 b,526,0.197 Jupiters,12.597,2010
1188,HAT-P-19 b,659,0.292 Jupiters,12.826,2010
1189,HAT-P-1 b,519,0.525 Jupiters,9.827,2006
1190,HAT-P-20 b,232,7.246 Jupiters,11.231,2010
1191,HAT-P-21 b,904,4.87 Jupiters,11.459,2010
1192,HAT-P-22 b,267,2.47 Jupiters,9.763,2010
1193,HAT-P-23 b,1190,1.34 Jupiters,11.937,2010
1194,HAT-P-24 b,1355,0.75 Jupiters,11.762,2010
1195,HAT-P-25 b,980,0.569 Jupiters,13.146,2010
1196,HAT-P-26 b,463,22.2481 Earths,11.757,2010
1197,HAT-P-27 b,650,0.62 Jupiters,12.052,2011
1198,HAT-P-28 b,1309,0.626 Jupiters,13.098,2011
1199,HAT-P-29 b,1023,0.88 Jupiters,11.825,2011
1200,HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
1201,HAT-P-54 b,469,0.76 Jupiters,13.398,2015
1202,HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
1203,HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
1204,HAT-P-57 b,913,1.41 Jupiters,10.639,2015
1205,HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
1206,HAT-P-59 b,866,1.54 Jupiters,11.64,2021
1207,HAT-P-5 b,989,0.98 Jupiters,11.954,2007
1208,HAT-P-60 b,761,0.574 Jupiters,9.727,2021
1209,HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
1210,HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
1211,HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
1212,HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
1213,HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
1214,HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
1215,HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
1216,HAT-P-68 b,659,0.724 Jupiters,13.802,2020
1217,HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
1218,HAT-P-6 b,898,1.32 Jupiters,10.469,2007
1219,HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
1220,HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
1221,HAT-P-8 b,690,1.28 Jupiters,10.358,2008
1222,HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
1223,HATS-10 b,1745,0.526 Jupiters,13.202,2015
1224,HATS-11 b,3081,0.83 Jupiters,14.06,2016
1225,HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
1226,HAT-P-54 b,469,0.76 Jupiters,13.398,2015
1227,HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
1228,HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
1229,HAT-P-57 b,913,1.41 Jupiters,10.639,2015
1230,HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
1231,HAT-P-59 b,866,1.54 Jupiters,11.64,2021
1232,HAT-P-5 b,989,0.98 Jupiters,11.954,2007
1233,HAT-P-60 b,761,0.574 Jupiters,9.727,2021
1234,HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
1235,HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
1236,HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
1237,HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
1238,HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
1239,HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
1240,HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
1241,HAT-P-68 b,659,0.724 Jupiters,13.802,2020
1242,HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
1243,HAT-P-6 b,898,1.32 Jupiters,10.469,2007
1244,HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
1245,HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
1246,HAT-P-8 b,690,1.28 Jupiters,10.358,2008
1247,HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
1248,HATS-10 b,1745,0.526 Jupiters,13.202,2015
1249,HATS-11 b,3081,0.83 Jupiters,14.06,2016
1250,HATS-38 b,1121,23.51942 Earths,11.967,2020
1251,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1252,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1253,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1254,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1255,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1256,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1257,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1258,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1259,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1260,HATS-47 b,981,0.369 Jupiters,14.602,2020
1261,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1262,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1263,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1264,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1265,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1266,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1267,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1268,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1269,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1270,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1271,HATS-57 b,912,3.147 Jupiters,12.333,2019
1272,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1273,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1274,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1275,HATS-38 b,1121,23.51942 Earths,11.967,2020
1276,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1277,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1278,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1279,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1280,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1281,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1282,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1283,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1284,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1285,HATS-47 b,981,0.369 Jupiters,14.602,2020
1286,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1287,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1288,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1289,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1290,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1291,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1292,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1293,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1294,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1295,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1296,HATS-57 b,912,3.147 Jupiters,12.333,2019
1297,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1298,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1299,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1300,HATS-38 b,1121,23.51942 Earths,11.967,2020
1301,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1302,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1303,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1304,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1305,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1306,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1307,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1308,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1309,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1310,HATS-47 b,981,0.369 Jupiters,14.602,2020
1311,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1312,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1313,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1314,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1315,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1316,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1317,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1318,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1319,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1320,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1321,HATS-57 b,912,3.147 Jupiters,12.333,2019
1322,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1323,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1324,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1325,HATS-38 b,1121,23.51942 Earths,11.967,2020
1326,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1327,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1328,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1329,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1330,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1331,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1332,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1333,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1334,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1335,HATS-47 b,981,0.369 Jupiters,14.602,2020
1336,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1337,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1338,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1339,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1340,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1341,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1342,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1343,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1344,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1345,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1346,HATS-57 b,912,3.147 Jupiters,12.333,2019
1347,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1348,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1349,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1350,HATS-38 b,1121,23.51942 Earths,11.967,2020
1351,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1352,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1353,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1354,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1355,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1356,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1357,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1358,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1359,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1360,HATS-47 b,981,0.369 Jupiters,14.602,2020
1361,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1362,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1363,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1364,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1365,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1366,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1367,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1368,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1369,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1370,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1371,HATS-57 b,912,3.147 Jupiters,12.333,2019
1372,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1373,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1374,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1375,HAT-P-53 b,2175,1.484 Jupiters,13.78,2015
1376,HAT-P-54 b,469,0.76 Jupiters,13.398,2015
1377,HAT-P-55 b,1668,0.582 Jupiters,13.197,2015
1378,HAT-P-56 b,1046,2.31 Jupiters,10.92,2015
1379,HAT-P-57 b,913,1.41 Jupiters,10.639,2015
1380,HAT-P-58 b,1682,0.372 Jupiters,12.925,2021
1381,HAT-P-59 b,866,1.54 Jupiters,11.64,2021
1382,HAT-P-5 b,989,0.98 Jupiters,11.954,2007
1383,HAT-P-60 b,761,0.574 Jupiters,9.727,2021
1384,HAT-P-61 b,1105,1.057 Jupiters,13.096,2021
1385,HAT-P-62 b,1138,0.761 Jupiters,12.539,2021
1386,HAT-P-63 b,14624,0.614 Jupiters,20.1544,2021
1387,HAT-P-64 b,2126,0.58 Jupiters,12.855,2021
1388,HAT-P-65 b,2409,0.527 Jupiters,13.121,2016
1389,HAT-P-66 b,3051,0.783 Jupiters,13.014,2016
1390,HAT-P-67 b,1212,0.34 Jupiters,10.106,2017
1391,HAT-P-68 b,659,0.724 Jupiters,13.802,2020
1392,HAT-P-69 b,1113,3.58 Jupiters,9.774,2019
1393,HAT-P-6 b,898,1.32 Jupiters,10.469,2007
1394,HAT-P-70 b,1079,6.78 Jupiters,9.47,2019
1395,HAT-P-7 b,1113,1.84 Jupiters,10.481,2008
1396,HAT-P-8 b,690,1.28 Jupiters,10.358,2008
1397,HAT-P-9 b,1485,0.749 Jupiters,12.344,2008
1398,HATS-10 b,1745,0.526 Jupiters,13.202,2015
1399,HATS-11 b,3081,0.83 Jupiters,14.06,2016
1400,HATS-12 b,2434,2.39 Jupiters,12.831,2016
1401,HATS-13 b,1376,0.543 Jupiters,13.911,2015
1402,HATS-14 b,1673,1.071 Jupiters,14.052,2015
1403,HATS-15 b,3717,2.17 Jupiters,14.909,2016
1404,HATS-16 b,2469,3.27 Jupiters,13.957,2016
1405,HATS-17 b,1306,1.338 Jupiters,12.402,2016
1406,HATS-18 b,2037,1.9795 Jupiters,14.188,2016
1407,HATS-1 b,926,1.855 Jupiters,12.155,2012
1408,HATS-22 b,749,2.74 Jupiters,13.397,2017
1409,HATS-23 b,2084,1.47 Jupiters,13.84,2017
1410,HATS-24 b,1612,2.26 Jupiters,12.915,2017
1411,HATS-25 b,1537,0.613 Jupiters,13.172,2016
1412,HATS-26 b,2811,0.65 Jupiters,13.006,2016
1413,HATS-27 b,2665,0.53 Jupiters,12.782,2016
1414,HATS-28 b,1746,0.672 Jupiters,13.981,2016
1415,HATS-29 b,1154,0.653 Jupiters,12.62,2016
1416,HATS-2 b,1115,1.345 Jupiters,13.565,2013
1417,HATS-30 b,1116,0.706 Jupiters,12.283,2016
1418,HATS-31 b,2525,0.88 Jupiters,13.315,2016
1419,HATS-32 b,2431,0.92 Jupiters,14.386,2016
1420,HATS-33 b,810,1.192 Jupiters,11.91,2016
1421,HATS-34 b,1660,0.941 Jupiters,13.857,2016
1422,HATS-35 b,1678,1.222 Jupiters,12.609,2016
1423,HATS-36 b,2794,3.216 Jupiters,14.364,2018
1424,HATS-37 A b,691,31.46517 Earths,12.341,2020
1425,HATS-38 b,1121,23.51942 Earths,11.967,2020
1426,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1427,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1428,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1429,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1430,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1431,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1432,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1433,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1434,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1435,HATS-47 b,981,0.369 Jupiters,14.602,2020
1436,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1437,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1438,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1439,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1440,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1441,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1442,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1443,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1444,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1445,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1446,HATS-57 b,912,3.147 Jupiters,12.333,2019
1447,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1448,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1449,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1450,HATS-38 b,1121,23.51942 Earths,11.967,2020
1451,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1452,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1453,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1454,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1455,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1456,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1457,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1458,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1459,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1460,HATS-47 b,981,0.369 Jupiters,14.602,2020
1461,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1462,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1463,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1464,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1465,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1466,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1467,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1468,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1469,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1470,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1471,HATS-57 b,912,3.147 Jupiters,12.333,2019
1472,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1473,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1474,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1475,HATS-38 b,1121,23.51942 Earths,11.967,2020
1476,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1477,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1478,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1479,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1480,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1481,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1482,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1483,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1484,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1485,HATS-47 b,981,0.369 Jupiters,14.602,2020
1486,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1487,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1488,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1489,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1490,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1491,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1492,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1493,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1494,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1495,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1496,HATS-57 b,912,3.147 Jupiters,12.333,2019
1497,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1498,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1499,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1500,HATS-38 b,1121,23.51942 Earths,11.967,2020
1501,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1502,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1503,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1504,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1505,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1506,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1507,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1508,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1509,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1510,HATS-47 b,981,0.369 Jupiters,14.602,2020
1511,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1512,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1513,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1514,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1515,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1516,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1517,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1518,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1519,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1520,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1521,HATS-57 b,912,3.147 Jupiters,12.333,2019
1522,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1523,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1524,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1525,HATS-38 b,1121,23.51942 Earths,11.967,2020
1526,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1527,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1528,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1529,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1530,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1531,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1532,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1533,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1534,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1535,HATS-47 b,981,0.369 Jupiters,14.602,2020
1536,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1537,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1538,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1539,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1540,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1541,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1542,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1543,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1544,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1545,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1546,HATS-57 b,912,3.147 Jupiters,12.333,2019
1547,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1548,HATS-59 b,2097,0.806 Jupiters,14.033,2018
1549,HATS-59 c,2097,12.7 Jupiters,14.033,2018
1550,HATS-38 b,1121,23.51942 Earths,11.967,2020
1551,HATS-39 b,2866,0.63 Jupiters,12.745,2018
1552,HATS-3 b,1341,1.071 Jupiters,12.433,2013
1553,HATS-40 b,4379,1.59 Jupiters,13.478,2018
1554,HATS-41 b,2406,9.7 Jupiters,12.678,2018
1555,HATS-42 b,2611,1.88 Jupiters,13.682,2018
1556,HATS-43 b,1182,0.261 Jupiters,13.562,2018
1557,HATS-44 b,1455,0.56 Jupiters,14.397,2018
1558,HATS-45 b,2519,0.7 Jupiters,13.325,2018
1559,HATS-46 b,1480,0.173 Jupiters,13.783,2018
1560,HATS-47 b,981,0.369 Jupiters,14.602,2020
1561,HATS-48 A b,860,0.243 Jupiters,14.226,2020
1562,HATS-49 b,1058,0.353 Jupiters,14.988,2020
1563,HATS-4 b,1358,1.323 Jupiters,13.516,2014
1564,HATS-50 b,2468,0.39 Jupiters,14.045,2017
1565,HATS-51 b,1271,0.768 Jupiters,12.525,2017
1566,HATS-52 b,1811,2.24 Jupiters,13.844,2017
1567,HATS-53 b,1911,0.595 Jupiters,13.944,2017
1568,HATS-54 b,2442,0.753 Jupiters,13.937,2019
1569,HATS-55 b,1989,0.921 Jupiters,13.525,2019
1570,HATS-56 b,1841,0.602 Jupiters,11.477,2019
1571,HATS-57 b,912,3.147 Jupiters,12.333,2019
1572,HATS-58 A b,1317,1.03 Jupiters,11.572,2019
1573,HATS-59 b,2097,0.806 Jupiters,14.033,2018
